Tweet,Date
युद्ध र भोकमरीलाई जितेकाहरु कोभिड-१९ सँग कसरी लड्छन् ? https://t.co/XJjfBDpDdG,Mar 27 2020 
आपूर्ति व्यवस्था सहज बनाउन प्रदेश एकमा सर्वपक्षीय छलफल https://t.co/IZW7anIivR,Mar 27 2020 
न्यूनतम आवागमन खुला गर्ने निर्णय https://t.co/FsmUSZkf0o,Mar 27 2020 
कोरोना भित्रिने भन्दै सिसडोलका बासिन्दाले फोहोर फ्याँक्न दिएनन् सडकमै थुप्रिन थाल्यो फोहोर https://t.co/XKVq0cLuZb,Mar 27 2020 
विशेष अदालतको मुद्दा दर्ता नगर्ने भएपछि ती थुनुवालाई कानूनी प्रक्रिया पूरा गरेर छाड्ने प्रकिया अघि बढाएको छ । https://t.co/pLPe6XkA6n,Mar 27 2020 
पर्सा राष्ट्रिय निकुञ्जमा गोली हानाहान एकको मृत्यु https://t.co/HSrxNnyNJa,Mar 27 2020 
तिलोत्तमाले विपन्नको घरघरमा पुर्‍यायो खाद्यान्न https://t.co/kXjgN79rRr,Mar 27 2020 
६ महिनाकी छोरीको हत्या गर्ने बाबु प्रहरी नियन्त्रणमा https://t.co/MQe8yUyorW,Mar 27 2020 
जोनसाेनले आफूमा हल्का लक्षण देखिएको र संक्रमणको नतिजा सकारात्मक देखिएपछि डाउनिङ स्ट्रिटमा सेल्फ आइसोलेसनमा बसेको बताएका छन् । https://t.co/MvwFwhz0KJ,Mar 27 2020 
३८ लाख ग्राहकलाई विद्युत् महसुलमा २० प्रतिशत छुट दिइने https://t.co/XhPkPt7ZON,Mar 27 2020 
पूर्वसांसद साहद्वारा मास्क र स्यानिटाइजर प्रदान https://t.co/RkKXKoD7rq,Mar 27 2020 
सडकमजदुरलाई खाद्यान्न वितरण https://t.co/w9OV9476yn,Mar 27 2020 
आइसोलेसनका लागि बिपीका चार विभाग खाली https://t.co/P8WxHJxkcH,Mar 27 2020 
कोरोना संक्रमित युवतीसँगै आएका बाग्लुङका युवा पर्वतको आइसोलेसनमा https://t.co/7r8RHJH0HV,Mar 27 2020 
बेलारुसमा नाटकघर सिनेमाघर बन्द भएका छैनन स्टेडियममा फुटबल क्रिकेट खेलहरू सञ्चालन भइरहेका छन् र कुनै सार्वजनिक कार्यक्रम गर्न प्रतिबन्ध लगाइएको छैन https://t.co/PjrxXcbOfU,Mar 27 2020 
विश्वभर फैलिएको कोरोना भाइरसको महामारीबाट संक्रमित भएकामध्ये एक लाख २४ हजार तीन सय ४९ मानिस उपचारपछि ठिक भएर घर फर्किएका छन् । https://t.co/bFFwspNvHV,Mar 27 2020 
संभवतः आजै साँझसम्म उहाँलाई डिस्चार्ज गरिन्छ https://t.co/F5LiaKD1rq,Mar 27 2020 
रौतहट एन्फा भवनमा क्वारेन्टाइन निर्माण https://t.co/XYuZjsjJNi,Mar 27 2020 
लकडाउन कार्यान्वयनमा कठोर बन्दै प्रहरी अवज्ञा गरे तत्काल पक्राउ गर्न विशेष टोली परिचालन https://t.co/sU8OQFS8r9,Mar 27 2020 
उच्च अदालत सुर्खेत जुम्ला इजलासले बन्दीप्रत्यक्षीकरण निवेदनउपर सुनुवाइ गर्ने https://t.co/YwNmjHSHOO,Mar 27 2020 
काभ्रेमा दुई सय ५३ बेडको क्वारेन्टाइन कक्ष स्थापना https://t.co/hqX5eVHScI,Mar 27 2020 
फ्रान्सेली नागरिक लिएर फर्कियो कतार एयरवेज  https://t.co/rdQ5LmRGEF,Mar 27 2020 
भाइरसको संक्रमण बढेपछि दुई महिनादेखि विश्वका प्रमुख व्यापारिक तथा आर्थिक केन्द्रहरू बन्द छन् । https://t.co/XzO9QuPLo8,Mar 27 2020 
मोजाम्बिक जाँदै गरेका धेरै इथियोपियाका नागरिकको कन्टेनरभित्र निस्सासिएर मृत्यु भएको पुष्टि https://t.co/x4nstXJ5oV,Mar 27 2020 
कोरोना संकटबारे सी र ट्रम्पबीच वार्ता महामारी रोक्न ‘ठोस कदम’ चाल्ने सहमति https://t.co/h5xcoQOr62,Mar 27 2020 
कोरोना भाइरसको महामारी र अत्यधिक संक्रमणको कारण देखाउँदै फ्रान्सले इराकमा रहेका आफ्ना सैनिकलाई स्वदेश फिर्ता गर्ने निर्णय गरेको छ । https://t.co/8ThToSrzxw,Mar 27 2020 
मुखको क्यान्सरबाट बच्ने उपाय https://t.co/SQi9GkaQ5p,Mar 27 2020 
यसरी सदुपयोग गरौँ लकडाउनको समय https://t.co/A87ZLNmzvK,Mar 27 2020 
डायलाइसिसमा समस्या भए चीनबाट उपकरण ल्याउँछौँ : प्रा.डा. दिव्या सिंह शाह https://t.co/0094MxL5Nn,Mar 27 2020 
महामारीसँग पराजित दक्षिणपन्थी सरकार https://t.co/g4ewsdJXfL,Mar 27 2020 
लक्ष्मी ग्रुपद्वारा एक करोड रुपैयाँ सहयोग https://t.co/5rVdxAuln4,Mar 27 2020 
टेलिकमको शतप्रतशित रिचार्जमा बोनस https://t.co/yVxJfjkNgV,Mar 27 2020 
कोरोना भाइरस नेपालको ढोकामा आइसकेको छ तर हामीसँग लड्न हतियार छैन अब प्रत्येक मिनेट महत्वपूर्ण छ र काम युद्धस्तरमा गर्न जरुरी छ https://t.co/Ghqy9cip5S,Mar 27 2020 
कृषि विकास बैंकको सेवा सुचारु https://t.co/YyiqLfUcta,Mar 27 2020 
डब्लुएचओविरुद्ध खनिए ट्रम्प https://t.co/8ATtdHefGU,Mar 27 2020 
संकटमा सरकारले  कसरी काम गर्ने ? https://t.co/LMRkyuxlip,Mar 27 2020 
किसान र मजदुरका लागि यतिवेला सरकारले के गर्नुपर्छ ?  https://t.co/5ZhZBJj7h7,Mar 27 2020 
कोरोनाविरुद्ध लड्न स्वास्थ्य संकटकाल आवश्यक https://t.co/Kr3B6Zdtmy,Mar 27 2020 
दुनियाँभर गरिबलाई राहत नेपालमा सरकार मौन ज्यालादारी श्रमिकलाई छाक टार्नै समस्या  https://t.co/KeTkfZpH6z,Mar 27 2020 
कोरोना महाव्याधीमा कुसमाचार https://t.co/jEg16Vi3dK,Mar 27 2020 
सडकमा कोरोनानाशक औषधि छर्दै महानगर https://t.co/PcV70qUr0Z,Mar 27 2020 
सूचीकृतबाहेकका सामान ढुवानी गर्न प्रशासनको अनुमति अनिवार्य  https://t.co/TRFFwQNAyp,Mar 27 2020 
भाइरसले बढाएको विभाजन https://t.co/tlV07TjB0g,Mar 27 2020 
प्रधानमन्त्री ओली अस्पताल भर्ना https://t.co/w9EC4sc4Iu,Mar 27 2020 
राष्ट्रपति शैक्षिक सुधार कार्यक्रमको प्रस्ताव पेस गर्ने समय थपियो https://t.co/fWpOAvg1zT,Mar 27 2020 
दुईसयभन्दा बढी अलपत्र पर्यटकको उद्दार https://t.co/JAtwbqtndv,Mar 27 2020 
कोरोना संक्रमितको संख्या ५ लाख नाघ्यो अमेरिका पहिलो नम्बरमा https://t.co/gHApIhVp1w,Mar 27 2020 
विद्युतबाट खाना पकाए  २० प्रतिशत महसुल छुट हुने https://t.co/R4c7Od7KEt,Mar 27 2020 
लमजुङ कालिकामा पहिलोपटक पूजा र बलि रोकियो नियमित पुजा मात्र हुने https://t.co/O4K0fnT2Tn,Mar 27 2020 
पुनः प्रयोग गर्न मिल्ने पिपिई बनाउँदै पाटन अस्पताल https://t.co/BlUka2NxfE,Mar 27 2020 
खानेपानीको समस्या हुँदैन : केयुकेएल https://t.co/htrcRI8Rqs,Mar 27 2020 
इतिहास फर्केर हेर्दा : कोरोनाभन्दा ठूला महामारी https://t.co/WC7w0WBkh2,Mar 27 2020 
कोरोनाले एक वर्षपछि खेल धकेलिँदा स्टार खेलाडीको ओलम्पिक यात्रा अनिश्चित https://t.co/IKTtqdUjnL,Mar 27 2020 
कोभिड-१९ : ८० करोड भारतीयलाई तीन महिना निःशुल्क खाद्यान्न https://t.co/Dn3lpEP3S3,Mar 27 2020 
कोरोनाले खाडीको रोजगारीमा असर : चार लाख घरेलु र गैरकानुनी  नेपाली कामदार उच्च जोखिममा https://t.co/TPAvResWmm,Mar 27 2020 
लकडाउनसँगै मिर्गौलाका चार हजार ६ सय बिरामी समस्यामा  : बिरामी अस्पताल पुग्नै सकस पुगे पनि आधा मात्र डायलाइसिस  https://t.co/XKwwK6uKPK,Mar 27 2020 
मिर्गौला रोग विशेषज्ञ ऋषिकुमार काफ्ले भन्छन्  ‘बिरामीको ज्यान धान्न मात्र  डायलाइसिस गर्नुपर्ने अवस्था छ’ https://t.co/uatneR9E51,Mar 27 2020 
विश्व स्वास्थ्य संगठन भन्छ ‘संकटको समयमा चीनले द्रुत गतिमा आफ्नो कार्य देखाएर विश्वलाई चकित पारेको छ । कुनै पनि हालतमा ढिला नगरौँ । छिटो गरेर मात्र पुग्दैन सुपर फास्ट तरिकाले काम गर्नुपर्छ ।’ https://t.co/TwjjKi6Srm,Mar 26 2020 
फुर्सदमा उपयोगी ५ विदेशी फिल्म-  https://t.co/e89mJ59S4F,Mar 26 2020 
फिवर क्लिनिक सञ्चालन गर्न प्रति अस्पताल १० लाख रुपैयाँ https://t.co/DGB0h2OT6E,Mar 26 2020 
कोरोना संक्रमणको उच्च जोखिममा रोहिंग्या शरणार्थी https://t.co/Iohiu1QNvt,Mar 26 2020 
गौर नगरपालिकामा तीन फिट दुरीको फरकमा किनमले गर्नुपर्ने https://t.co/GLcuHfJptw,Mar 26 2020 
दोलखाबाट कोरोना संक्रमणको आशंकामा पठाइएका पाँच नमूनामा कोरोना संक्रमण भेटिएन https://t.co/TlQZgtLhjM,Mar 26 2020 
स्वास्थ्यकर्मीलाई प्रधानमन्त्रीको चार सन्देश https://t.co/E3WJaXa4lo,Mar 26 2020 
‘सरकारले कोरोना संक्रमितको उपचार आपूर्ति र शान्ति सुरक्षामा काम गरिरहेको छ’ https://t.co/MUnU5k7dPF,Mar 26 2020 
क्वारेन्टाइन बनाउने भन्दै पैसा उठाउने पक्राउ https://t.co/oGEP3DAxXm,Mar 26 2020 
कोरोना संक्रमणको आशंकामा आइसोलेसनमा राखिएका युवामा कोरोना संक्रमण नभएको पुष्टि https://t.co/L7W1Zlpcx6,Mar 26 2020 
काेरोना भाइरसको संक्रमण न्यून गर्न ठूलो मात्रामा परीक्षण हुन आवश्यक छ त्यसका लागि थुप्रै कम्पनीहरूले परीक्षण किटको विकास गरिरहेका छन् । https://t.co/XpLzKL4UGs,Mar 26 2020 
कोरोना भाइरस कोष र कामदार उद्धार कोषमा म्यानपावर व्यवसायीको एक–एक करोड सहयोग https://t.co/27O59Vz6iU,Mar 26 2020 
अत्यावश्यक वस्तुहरू डेलिभरी भ्यानमार्फत आपूर्ति गर्न निर्देशन https://t.co/UcBX6V5JNQ,Mar 26 2020 
कोरोना भाइरसबाट जोगिन स्थानीय सरकारले गरेको कामको उद्घाटनमा ४० जनाकाे भीड https://t.co/EyovMu6nYh,Mar 26 2020 
जुम्ला अस्पतालले थाल्यो स्यानिटाइजर उत्पादन https://t.co/CAbOr4SGFe,Mar 26 2020 
मुस्ताङबाट एक सय २१ विदेशी पर्यटकको उद्धार गरियो https://t.co/ots6Kt60R1,Mar 26 2020 
संक्रमित किशोरी चढेकै जहाजमा यात्रा गरेका कञ्चनपुरका युवा सेल्फ क्वारेन्टाइनमा https://t.co/jfSNsHgYbz,Mar 26 2020 
पाल्पामा ३७ जना क्वारेन्टाइनमा https://t.co/TZfvsV3iGD,Mar 26 2020 
नवलपुरका ६ स्थानमा १९ शय्याकाे आइसोलेसन कक्ष तयार https://t.co/IX0xOg50he,Mar 26 2020 
मजदुरी गरी जीविकोपार्जन गर्नेहरूलाई मध्यनेपाल नगरपालिकाले सहयोग गर्ने https://t.co/8OUm7aePKr,Mar 26 2020 
कालोबजारी गर्ने औषधि पसललाई २० हजार जरिवाना https://t.co/IVDsoubLfE,Mar 26 2020 
अमेरिकामा कोरोना भाइरसबाट मृत्यु हुनेको संख्या हजार नाघ्यो https://t.co/Y50AEVKSLU,Mar 26 2020 
दिल्लीमा रोकिए डेढ सय नेपाली https://t.co/JsSh2xYT3n,Mar 26 2020 
ग्यास आपूर्ति सहज बनाउन आधा ग्यास भरिएका सिलिन्डर बिक्री गरिने https://t.co/tPdeYhUyMC,Mar 26 2020 
एक्सन लिँदै स्थानीय सरकार : प्रदेश १ का एक सय १२ जनाकाे परीक्षण सुरु https://t.co/RT28SUJhcy,Mar 26 2020 
इन्डक्सनमा खाना पकाउँदा विद्युत् महसुलमा २० प्रतिशत छुट https://t.co/0zMTDwAwSx,Mar 26 2020 
फुर्सदमा ‘क्याबिन क्रु’ https://t.co/5e1q66zo5s,Mar 26 2020 
भारतमा अलपत्र नेपाली भन्छन्- सरकारले बस पठाइदिए गाउँ फर्केर २ हप्ता आइसोलेसनमा बस्थ्यौँ  https://t.co/IGkuv2a1fK,Mar 26 2020 
बारम्बार हात धुँदा छालामा समस्या आए यसरी जोगिऔँ https://t.co/75cMlBJRu0,Mar 26 2020 
फुर्सदमा उपयोगी ५ विदेशी फिल्म  https://t.co/DgHdCbvAoi,Mar 26 2020 
साबुनको विकल्प स्यानिटाइजर https://t.co/75cMlBJRu0,Mar 26 2020 
स्यानिटाइजर र साबुनपानी प्रयोग विधि  https://t.co/HxTV0vnioK,Mar 26 2020 
‘सेल्फ क्वारेन्टाइन’मा डाक्टर घरबाटै स्वास्थ्य सेवा https://t.co/jBnMLkXMav,Mar 26 2020 
कोरोनाविरुद्धको संघर्षमा दक्षिण कोरियाले देखाएको बाटो https://t.co/LzKjDcYbx9,Mar 26 2020 
राहत कोषमा राष्ट्रपतिदेखि सांसदको योगदान  https://t.co/RxgrWOsqRO,Mar 26 2020 
लकडाउनमा रगत व्यवस्थापन https://t.co/g5pLNHyIlP,Mar 26 2020 
शताब्दीअघिको स्पेनिस फ्लु : आजका लागि पाठ https://t.co/CrF1Qkihqs,Mar 26 2020 
पश्चिमी मुलुक कोरोना भाइरस नियन्त्रणमा असफल देखिएका छन् त्यसैले यतिवेला स्पेनिस फ्लु हाम्रा लागि पाठ हुन सक्छ https://t.co/CrF1Qkihqs,Mar 26 2020 
नागरिकमाथि सरकारको  निगरानी विपक्षीको सरकारमाथि https://t.co/PmN8Aj22pX,Mar 26 2020 
बसाइ ‘क्वारेन्टाइन’मा  नजर निर्वाचन क्षेत्रमा https://t.co/sKSq851Rgw,Mar 26 2020 
देशमा भित्रिसकेको कोरोना फैलिनुअघि नै सबल नियन्त्रण प्रणाली निर्माणमा सरकारको बलियो हस्तक्षेप चाहिन्छ https://t.co/9IS1TOIQOZ,Mar 26 2020 
सार्वजनिक स्वास्थ्यमा प्रश्न https://t.co/6pjMuAlgQ6,Mar 26 2020 
आर्थिक क्षेत्रमा कोरोना प्रभाव के भन्छन् विज्ञ https://t.co/zUCp2yM1WS,Mar 26 2020 
लकडाउन पालना नगर्दा कहाँ के भयाे ? https://t.co/1GuBD62IOz,Mar 26 2020 
कोभिड १९ : यसकारण सामाजिक दूरी अनिवार्य छ https://t.co/fOQI7TGUvn,Mar 26 2020 
कोरोना संक्रमितलाई सहयोग गर्दै मेसी https://t.co/L8eCzyZKbw,Mar 26 2020 
चीनले एक साताभित्र स्वास्थ्य  सामग्री पठाउने भारतले समय तोकेन https://t.co/HralykMMF9,Mar 26 2020 
रसुवागढी र तातोपानी नाका खोलिने https://t.co/ZerFqlcwS0,Mar 26 2020 
शुल्क तिर्न ढिला भए पनि टेलिकमले लकडाउन अवधिभर इन्टरनेट नकाट्ने https://t.co/lZmavvU3C5,Mar 26 2020 
लकडाउन उल्लंघन  गर्नेलाई एक महिना  कैद र एक सय  रुपैयाँसम्म जरिवाना https://t.co/FSJa8wR7IV,Mar 26 2020 
घरमै लकडाउन शारीरिक र मानसिक स्वास्थ्यका लागि  एक अवसर पनि https://t.co/od7l0Fo7tz,Mar 26 2020 
१० दिनमा राजधानीबाट १२ लाख र भारतबाट  ५ लाख नागरिक गाउँ पसे तर पसेन जागरण https://t.co/MCnFBrXLNM,Mar 26 2020 
कोभिड १९ : विश्व अपडेट https://t.co/fdt22eu29z,Mar 26 2020 
चैत १३ गते बिहीबारको नयाँ पत्रिका ई-पेपरमा पढ्नुहोस्>>> https://t.co/Munkw35gWW,Mar 26 2020 
कोरोनाविरुद्ध लड्न ग्लोबल आइएमई बैंकको सहयोग https://t.co/OyWEDLXioy,Mar 26 2020 
कोरोना भाइरस संक्रमण रोकथाम नियन्त्रण तथा उपचार कोषमा एनसेलको १० करोड सहयोग https://t.co/Mt9u4ES6Vr,Mar 26 2020 
पदयात्रामा गएका  ५ सय विदेशी पर्यटक अलपत्र https://t.co/zFcFzXmVWj,Mar 26 2020 
आयातीत सामान र ढुवानी साधनलाई नाकामै ‘डिस–इन्फेक्ट’ गरिने https://t.co/5w2OYSPwhm,Mar 26 2020 
कोरोनाबाट पर्ने आर्थिक क्षतिमा सघाउन अन्तर्राष्ट्रिय वित्तीय संस्थालाई अर्थमन्त्रीको आग्रह https://t.co/ePfy2kohEr,Mar 26 2020 
विद्युत् खपत ३ सय मेगावाट घट्यो  भारतबाट २५० मेगावाट आयात घटाइने   https://t.co/ed5IAbvHOR,Mar 26 2020 
सबै स्थानीय तहमा बैंकिङ सेवा दिन राष्ट्र बैंकको निर्देशन  https://t.co/j5xjqVke02,Mar 26 2020 
त्रिविको बेसिक साइन्स भवनमा आइसोलेसन बेड राख्न सुरु https://t.co/tbPayEGAF4,Mar 26 2020 
सम्भवतः नियन्त्रणका लागि लिइएका कदमले काम गर्नेछन् तर अहिले भने हामी गम्भीर विपतमा फसेका छौँ https://t.co/8XRhXhwp2g,Mar 25 2020 
कोरोनाविरुद्धको लडाईंमा चिनियाँ स्वास्थ्यकर्मीको निरन्तर खटाई तिनले पाएको त्यो अपूर्व सम्मान https://t.co/FBfbD5RCIM,Mar 25 2020 
ठूला स्टोरले खाद्यान्न होम डेलिभरीको व्यवस्था गुर्नपर्ने चिनियाँ नाका खोलिने https://t.co/jtbZ39s73B,Mar 25 2020 
ठूला खाद्य स्टोर तथा पसलहरूले अत्यावश्यक वस्तुको होम डेलिभरि गनुपर्ने https://t.co/GyguOMNDXR,Mar 25 2020 
चितवनमा ‘लकडाउन’ उल्लंघन गर्ने २ सयभन्दा बढी सवारी नियन्त्रणमा https://t.co/zkyMjKRi4B,Mar 25 2020 
चिनियाँ कम्पनीले दियो २ हजार थान कोरोना जाँच्ने किट्स ल्हासा हुँदै ल्याइनेछ नेपाल https://t.co/lb5tM5wXhq,Mar 25 2020 
हामीसँग तीनवटा विकल्प थिए– सशस्त्र आक्रमण गरेर निस्कने पर्खालको काँडेतार नाघेर निस्कने र सुरुङ बनाएर निस्कने तीनमध्ये अन्तिम विकल्प रोज्ने निर्णय हामीले ग-यौँ । https://t.co/ARNQmUWBXM,Mar 25 2020 
प्युठानमा नौवटै स्थानीय तहमा क्वारेन्टाइन सञ्चालन https://t.co/q0gRf4MQQl,Mar 25 2020 
पर्वतका औषधि पसलहरू बन्द नखोले कारबाही गर्ने प्रशासनको चेतावनी https://t.co/AAIwSpf9uj,Mar 25 2020 
