Tweet,Date
कोभिड-१९ महामारी : अख्तियार हिरासतमा रहेकालाई छाडिने https://t.co/9aQP4fdFmU, Mar 27 2020 
संक्रमितसँग आएका व्यक्ति क्‍वारेन्टाइनमा https://t.co/RbZgAwIs6u, Mar 27 2020 
सरकारलाई कांग्रेसको १७ सुझाव : भोलि होइन आजै गरौं https://t.co/sbg9g6f1Ue, Mar 27 2020 
कोरोना त्रास : चिकित्सकले छाडे जागिर https://t.co/MWZ6SfQVJ1, Mar 27 2020 
गोली भर्दाभर्दै पड्किएर हवल्दारको ज्यान गयो https://t.co/WcPwmnzSmD, Mar 27 2020 
नेपालमा अर्को एकजना कोरोना संक्रमित थपिए https://t.co/Jcrqdp5oMa via @Annapurna_Post, Mar 27 2020 
कहिले अन्त्य होला कोरोना कहर ? https://t.co/ZJKAO4Pqlg, Mar 27 2020 
कोरोनासँग जुध्‍न पार्टी कार्यकर्तालाई ओली-प्रचण्डले दिएको ७ बुँदे निर्देशनमा के छ ? https://t.co/K7QATyYGzl, Mar 27 2020 
प्रधानमन्त्री ओली डिस्चार्ज https://t.co/6sGa9LJ5XX via @Annapurna_Post, Mar 27 2020 
प्रहरीले कसरी गर्छ नछोएरै पक्राउ ? https://t.co/kSkexebTn4, Mar 27 2020 
कति सुरक्षित छन् सुरक्षाकर्मी ? https://t.co/04ErJzMKPO, Mar 27 2020 
पर्सामा सेना र तस्करबीच गोली हानाहान एकको मृत्यु https://t.co/jiuIMV22ht, Mar 27 2020 
विद्युतका ३८ लाख ग्राहकलाई महसुलमा २० प्रतिशत छुट https://t.co/vpaOPZqvId via @Annapurna_Post, Mar 27 2020 
बेलायती प्रधानमन्त्रीलाई पनि कोरोना संक्रमण https://t.co/szQjXgbYpK, Mar 27 2020 
विदेशबाट फर्किएका ७ जना क्‍वारेन्टाइनमा https://t.co/gwZng14yYz, Mar 27 2020 
चार्टर्ड जहाजमा ५८ पर्यटक पोखराबाट काठमाडौं उडे https://t.co/lycoxfyMzE via @Annapurna_Post, Mar 27 2020 
धादिङका ५ सांसदद्वारा कोरोना कोषमा १ महिनाको तलब जम्मा https://t.co/0jjWwxTSD4, Mar 27 2020 
कोरोना त्रास : जहाँ साबुन पानीले हात धोए मात्र टोलमा प्रवेश पाइन्छ https://t.co/hLiFYCwrGk via Annapurna Post, Mar 27 2020 
मजदुरलाई खाद्यान्न प्रहरीलाई मास्क https://t.co/TSQsNggf9Y via Annapurna Post, Mar 27 2020 
२० शैयाको क्‍वारेन्टाइन अलपत्र ११० जना डोल्पा पठाइँदै https://t.co/oFvnLrbP7e via Annapurna Post, Mar 27 2020 
घरमै पुगेर बिरामी लैजान सिडिओले दिए पास https://t.co/UQaUlzPYju, Mar 27 2020 
