Tweet,Date
कोरोना प्रकोप : अस्ट्रेलियामा थप कडाइ https://t.co/qIhbAUWpL4,Mar 28 2020 
नमूना लिन गएको नेपाल एयरलाइन्सको जहाज धावनमार्गमा दूर्घटना https://t.co/FtUDIuAh6q,Mar 28 2020 
प्रहरी प्रवक्ता एसएसपी उमेशराज जोशीका अनुसार सम्पर्क गर्न नसिएका अधिकांश यात्रुहरुले एउटा जिल्लाबाट राहदानी लिएको भए पनि उनीहरु अन्यत्रै बसाइँ सरेर गएको देखिन्छ । @janakrasa को रिपोर्ट :: https://t.co/W1KgltbKC6,Mar 28 2020 
कर्णालीको क्वारेन्टाइन : एउटै बेडमा दुईजना मास्कको सट्टा गलबन्दी https://t.co/OftgotBfEj,Mar 28 2020 
पानी ग्यास र पूजा (फोटो) https://t.co/Si2eo91EG2,Mar 28 2020 
मनाङमा कीटाणुनाशक औषधि छर्न थालियो https://t.co/sPjyNL3ZMZ,Mar 28 2020 
मनास्लुमा अलपत्र परेका ३० पर्यटकको उद्धार https://t.co/E4lhHBTepJ,Mar 28 2020 
विपत्तिमा घरघरमै पढ्ने–पढाउने कि ? https://t.co/IRQidh1jTN,Mar 28 2020 
प्यूठानका स्थानीय तहले मजदुरी गर्नेलाई खाद्यान्‍न वितरण गर्ने https://t.co/FmGJxAQspp,Mar 28 2020 
चीनबाट ल्याइने दुई हजार जनालाई कोरोना भाइरस (कोभिड–१९) परीक्षण गर्न पुग्ने किट भोलि साँझ काठमाडौं आइपुग्ने भएको छ । @KrishnaAcharyaG https://t.co/v0mycKpEuQ,Mar 28 2020 
संक्रमित युवकका परिवारलाई अस्पताल लगियो आइसोलेसनमा राखिने [अपडेट] https://t.co/AaTLZd2k7m,Mar 28 2020 
अस्ट्रेलियाको सिड्‌नीमा रहेका ४ नेपाली विद्यार्थीमा कोरोना भाइरसको संक्रमण देखिएको छ । https://t.co/hB9MGShYbl,Mar 28 2020 
अन्नपूर्ण पदमार्गअन्तर्गत मनाङमा रहेका २४ पर्यटकको उद्धार गरेर पोखरा पठाइएको छ ।https://t.co/Sxp71Xh2Dl,Mar 28 2020 
संक्रमितका परिवारलाई एम्बुलेन्सले बोक्नै मानेन -आफूलाई अलपत्र छाडेको संक्रमित युवाको गुनासो https://t.co/MUsUUBjTIj,Mar 28 2020 
लकडाउन वा क्‍वारेन्टाइनमा बस्दा मानसिक रुपमा कसरी स्वस्थ हुने ? मानसिक रोग विशेषज्ञ डा. रितेश थापाका सुझाव पढ्नुहोस्' -महामारीबाट हुने सम्भावित मानसिक असर रोक्ने एकमात्र उपाय सही सूचना नै हो र क्वारेन्टाइन व्यवस्थापन हो।' @FatimahBanu https://t.co/rxRg7a2S4r,Mar 28 2020 
सामाजिक दूरी कायम राख्‍ने अनेक उपाय [तस्बिरहरु] @dpak_kc https://t.co/H1rRjYgrU2,Mar 28 2020 
महिला बालबालिका तथा ज्येष्ठ नागरिक मन्त्रालयले देशभरका पुनःस्थापना केन्द्र वृद्धाश्रममा रहेका ज्येष्ठ नागरिकलाई राहतस्वरुप तीन महिनाका लागि मासिक १० हजार रुपैयाँ दिने तयारी गरेको छ । https://t.co/jXPpi28Nhw,Mar 28 2020 
क्व्होलासोंथर गाउँपालिकाले स्मार्ट भिलेज घलेगाउँका स्थानीयले होमस्टेमा पर्यटक राखे ५० हजार रुपैयाँसम्म जरिवाना तिराउने भएको छ । https://t.co/4fv8EFdtBi,Mar 28 2020 
धुले पहिरो खसेपछि सिद्धार्थ राजमार्ग शुक्रबार रातिदेखि अवरुद्ध भएको छ । https://t.co/I0qcQ4iv8L,Mar 28 2020 
‘मलाई थाहा छैन उनको रहस्य के हो तर मलाई यो थाहा छ कि उनी बिन्दास र स्वतन्त्र महिला हुन्। भाइरसले उनीसमक्ष आत्मसमर्पण गर्‍यो’ इटालिकाका भतिज रेनातो भिल्ला ग्रोन्डोनाले सीएनएनसँगको कुराकानीमा भनेका छन्। https://t.co/BhqWrMP6Tr,Mar 28 2020 
कोरोना संक्रमणबाट फ्रान्समा १६ वर्षीया किशोरीको मृत्यु https://t.co/L5GOp6kOYS,Mar 28 2020 
भर्खरै इटालीबाट फर्किएका सशस्त्र प्रहरीका पूर्वमहानिरीक्षक शैलेन्द्र श्रेष्ठको अनुभव-युद्ध मैदानभन्दा डरलाग्दो इटाली 'नेपालको भन्दा १० औं गुणा गुणस्तर र सेवा प्रवाह क्षमता भएको इटालीमा स्वास्थ्य प्रणालीले मात्रै नसकेर सेना परिचालन गर्नुपरेको छ।'@krishnaktm https://t.co/fxDd7LO1nq,Mar 28 2020 
अमेरिकी कंग्रेसले कोरोना प्रकोपविरुद्ध दुई खर्ब डलरको आपत्‌कालीन राहत प्याकेजलाई अनुमोदन गरेको छ । यो अमेरिकी इतिहासकै सर्वाधिक ठूलो राहत प्याकेज हो । https://t.co/ct8n0yGYtt,Mar 28 2020 
कोरोना भाइरस(कोभिड–१९) को संक्रमणबाट इटालीमा पछिल्लो २४ घण्टामा मात्रै ९१९ जनाको मृत्यु भएको छ । https://t.co/XO8OeN0LH9,Mar 28 2020 
दुबईबाट काठमाडौं र नेपालगञ्‍ज हुँदै धनगढी पुगेका थिए संक्रमित https://t.co/dXMlR4IjFW,Mar 27 2020 
सञ्‍चारमाध्यमलाई केजरीवालको आग्रह ‘कृपया हाम्रो कमीकमजोरी औंल्याइदिनुस्’ https://t.co/LQnkCZEQIh,Mar 27 2020 
एक हप्तामै अमेरिकामा बेरोजगारको संख्या ह्वात्तै बढ्यो https://t.co/jloHeWOlon,Mar 27 2020 
सरकारले नेपालमा रहेका विदेशीहरु आफ्नो देश फर्किन चाहन्छन् भने उनीहरुलाई सम्बन्धित दूतावासमार्फत् सहजीकरण गरिदिने भएको छ । @subedibinu https://t.co/mIiIP7m6GL,Mar 27 2020 
फ्रान्स र जर्मनीका नागरिक लिन कतारका दुइटा जहाज शनिबार काठमाडौं आउँदै  @1stNepali https://t.co/ucDIp4CkWf,Mar 27 2020 
राजधानीका अस्पतालमा १५ बिरामी आइसोलेसनमा  https://t.co/M7kUfQ8ovn,Mar 27 2020 
लकडाउनको मौका छोपेर वन्यजन्तुको सिकार गर्न पर्सा निकुञ्जको महादेवखोला क्षेत्र पुगेका तस्कर र गस्तीमा रहेको नेपाली सेनाबीच गोली हानाहान हुँदा एक तस्करको ज्यान गएको छ । @gorkhamuslim https://t.co/W2TK3DQjWG,Mar 27 2020 
सात दिने लकडाउनलाई ७ फिल्म– ४ -रोहित शेट्टीका फिल्ममा ‘जस्ट चिल...’ भनिरहेका संजयलाई रजतले बाबुजी बनाइदिए। त्यसयता 'मसान' हुन् वा 'न्युटन' संजय मिश्रा बलिउडमा छाए। संजय मिश्राको अभिनयले पनि तपाईंको मनलाई शान्त बनाउने छ। @yangesh30 https://t.co/AekcU6Gmz5,Mar 27 2020 
कोरोना भाइरस (कोभिड-१९) को चौथो संक्रमित भेटिएका छन । आज स्वास्थ्य तथा जनसंख्या मन्त्रालयले गरेको प्रेस मिटमा मन्त्रालयका प्रवक्ता विकास देवकोटाले बताएका हुन्। https://t.co/xCAtA2TqK8,Mar 27 2020 
सहरका बैंकमा ग्राहक छैनन् गाउँमा भीड @YagyaBanjade https://t.co/3H69dYzf1z,Mar 27 2020 
घरायसी ग्राहकलाई चैत महिनाको महसुलमा २० प्रतिशत छुट सिफारिस https://t.co/jn805UHVz4,Mar 27 2020 
'अमेरिकी–बेलायती–युरोपियन युनियनजस्ता शक्तिराष्ट्र भनिनेहरूको गर्जन सजिलो दिनमा मुनाफा सोहोर्ने त्यस्तो कायर व्यापारीको जस्तो भएको छ जो संकटले घन बजारेको दिनमा मैदान छोडेर भाग्छ र भकारीभित्र लुकेर श्वास दबाएर बस्छ।' @gaunkomanchhey https://t.co/nNMEeXGyXh,Mar 27 2020 
सहर सुनसान भएपछि यिनीहरुको आम्दानीको स्रोत गुम्यो दिनमा सय–पचास रुपैयाँ मात्रै भए पनि आउने बाटो रोकियो। @subedibinu को रिपोर्ट :: https://t.co/NqmxolgO9R,Mar 27 2020 
@gaunkomanchheyको लेख- यो मानव जातिको पहिलो दुःख होइन -अयोग्यबेकामे भनेर लाञ्छित गरिएका सार्वजनिक/सरकारी अस्पताल र चिकित्सक संक्रामक महामारीको रैथाने सामना केन्द्रको रूपमा सानदार ढंगले उभिएका छन् र सही समयमा नाफाखोरहरूको छद्मयुद्धलाई नांगेझार पारेका छन् https://t.co/nNMEeXYalR,Mar 27 2020 
बाहिर निस्के महामारी घरमा भोकमरी @subedibinu को रिपोर्ट: https://t.co/Nqmxolyp1p,Mar 27 2020 
हतकडीको सट्टा एरेस्ट डिभाइस  @MakarShrestha https://t.co/ea7EHNLJ84,Mar 27 2020 
लकडाउनमा खटिने सशस्त्रलाई खाजाको व्यवस्था  प्रहरीलाई छैन @Dahalmatrika को रिपोर्टः https://t.co/8pXoPbXe8c,Mar 27 2020 
लकडाउनको अवधि बढाउने सरकारको तयारी -क्‍वारेन्टाइनमा बसेका व्यक्तिहरुको अन्तिम स्वास्थ्य जाँच रिपोर्ट नआएसम्म लकडाउन यथावत @Dahalmatrika https://t.co/kNA3GLQotA,Mar 27 2020 
‘परीक्षणको दायरा अझै बढेन परिणाममुखी भएन’  https://t.co/dK343HieT8,Mar 27 2020 
सरकारले ल्यायो क्‍वारेन्टाइन सञ्‍चालन तथा व्यवस्थापन मापदण्ड -शंकास्पद व्यक्तिलाई कम्तीमा १४ देखि १७ दिनसम्म क्वारेन्टाइनमा दिनमा ४ पटक खाना -क्वारेन्टाइनमा रहनेले सुर्तीजन्य नशालु तथा मादक पदार्थ सेवन गर्न नपाइने @jagdishor https://t.co/IZ9x6ZHTdU,Mar 27 2020 
बेलायती प्रधानमन्त्री बोरिस जोनसन पनि कोरोनाबाट संक्रमित https://t.co/PsX7kzF8pT,Mar 27 2020 
