Tweet,Date
सामान्य जीवनमा फर्किँदै चीन: एक साताका १० तस्विर https://t.co/Ae06kkfW63,Mar 27 2020 
विदेशका कोरोना संक्रमणका घटनालाई नेपालमै भएजस्तो देखाउने अनलाइनलाई कारवाही गरिने https://t.co/F2QkjkqsIo,Mar 27 2020 
तरकारी बजारको बेग्लै रौनक : भाऊ बढ्यो जारी छ कारोबार https://t.co/nWHq80b3sk,Mar 27 2020 
मुख्यत: ट्राफिक प्रहरी र जनपद प्रहरी खटिएका छन्। ब्याकअपमा सशस्त्र प्रहरी खटिएको छ। सेनाले फाट्टफुट्ट जीपमार्फत् गस्ती गरिरहेको छ। कोरोना रोकथामका लागि लकडाउन गरे पनि यसलाई कार्यान्वयन गराउने सुरक्षाकर्मी भने खाली हात सडकमा खटिएका छन्। https://t.co/4OQMZDwHzY,Mar 27 2020 
कोरोनाले खेल रोक्दा कहाँ के गर्दैछन् खेलाडी? https://t.co/pDLQs3aUn9,Mar 27 2020 
आइसीसीले लिग दुईअन्तर्गतकै पपुपा न्यू गिनीमा हुने भनिएको नेपाल पपुवा न्यू गिनी र युएईबीचको सिरिजसमेत स्थगित गरेको छ। आठौँ चरणको उक्त त्रिकोणात्क सिरिज आगामी जुन ९ देखि १६ तारिखसम्म सञ्चालन गर्ने तालिका सार्वजनिक गरेको छ। https://t.co/kRw30JGNNa,Mar 27 2020 
ट्रमा सेन्टरको सेवा घरबाटै लिन सकिने हटलाइन नम्बरमा गर्नुहोस् फोन https://t.co/tEVB4C4yG2,Mar 27 2020 
लकडाउनमा यस्तो देखियो सम्पदा क्षेत्र : पाटनदेखि पशुपति भक्तपुरदेखि बौद्ध https://t.co/Qcw62VnWhk,Mar 27 2020 
दिनरात खटिरहेका सुरक्षाकर्मी कति जोखिममा? ट्राफिक जवानको प्रश्न: १० रुपैयाँको मास्क लगाएर हामी कसरी सुरक्षित? @krb98804 को रिपोर्ट https://t.co/4OQMZDwHzY,Mar 27 2020 
ट्रमा सेन्टरबाट घरबाटै सेवा लिन सकिने हटलाइन नम्बरमा गर्नुहोस् फोन https://t.co/tEVB4C4yG2,Mar 27 2020 
कोरोनाको विश्वभरको माहोल फेरेको छ। यसैबाट प्रभावित छ विश्व खेलकुद पनि। नेपाली खेलकुद पनि त्यसबाट अछुतो छैन। पछिल्लो समय नेपालमा खेल गतिविधि ठप्प छन्।https://t.co/pDLQs3aUn9 @iamghimiremuku1 को रिपोर्ट,Mar 27 2020 
